content,created_at,date,likeCount,media,outlinks,quoteCount,quotedTweet,replyCount,retweetCount,retweetedTweet,url,id,conversationId
"Representatives of the people took a vote on the floor of the United States Congress to say loudly and clearly:

Love is love. 
Right is right.
Justice is justice.",Sat Dec 17 22:35:00 +0000 2022,2022-12-17 22:35:00+00:00,20269,,[],329,,6144,2245,,https://twitter.com/JoeBiden/status/1604243794643255297,1604243794643255297,1604243794643255297
"Thanks to the Inflation Reduction Act, out-of-pocket expenses for prescription drug prices will be capped at no more than $2,000 a year for Medicare recipients.",Sat Dec 17 19:28:00 +0000 2022,2022-12-17 19:28:00+00:00,12637,,[],152,,2960,1521,,https://twitter.com/JoeBiden/status/1604196734728544261,1604196734728544261,1604196734728544261
"When hospitals and community centers are threatened and intimidated because they support LGBTQI+ children and families, we have to speak out. We must stop hate and violence.",Sat Dec 17 16:08:01 +0000 2022,2022-12-17 16:08:01+00:00,34776,,[],1027,,13268,4277,,https://twitter.com/JoeBiden/status/1604146404359815170,1604146404359815170,1604146404359815170
"The American people won.
Big Pharma lost.

Medicare will have the power to negotiate for lower prescription drug prices.",Fri Dec 16 15:30:04 +0000 2022,2022-12-16 15:30:04+00:00,48489,,[],1143,,11240,5929,,https://twitter.com/JoeBiden/status/1603774469704716288,1603774469704716288,1603774469704716288
We are making the largest investment ever in combating the climate crisis through the Inflation Reduction Act.,Fri Dec 16 00:47:00 +0000 2022,2022-12-16 00:47:00+00:00,13955,,[],550,,8958,1869,,https://twitter.com/JoeBiden/status/1603552237036490757,1603552237036490757,1603552237036490757
"We’re building an economy from the bottom up and the middle out. 

An economy with good jobs and good wages for the long run.",Thu Dec 15 22:03:00 +0000 2022,2022-12-15 22:03:00+00:00,11677,,[],326,,5697,1715,,https://twitter.com/JoeBiden/status/1603510966712410127,1603510966712410127,1603510966712410127
"I had some MAJOR ANNOUNCEMENTS the last couple of weeks, too…

✔️ Inflation’s easing
✔️ I just signed the Respect for Marriage Act
✔️ We brought Brittney Griner home
✔️ Gas prices are lower than a year ago
✔️ 10,000 new high-paying jobs in Arizona",Thu Dec 15 18:23:01 +0000 2022,2022-12-15 18:23:01+00:00,158932,,[],5900,,28597,29342,,https://twitter.com/JoeBiden/status/1603455603606798378,1603455603606798378,1603455603606798378
"The Respect for Marriage Act is about being true to the best of the soul of America—decency, dignity, and love.
https://t.co/ftYi8vYR5R",Thu Dec 15 15:30:04 +0000 2022,2022-12-15 15:30:04+00:00,9330,"[Video(thumbnailUrl='https://pbs.twimg.com/media/FkBxJHEX0AA0LtA.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1603405784964120580/vid/720x720/E0nYnPJU8tx0GFv3.mp4?tag=16', bitrate=1280000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/amplify_video/1603405784964120580/pl/GRiwZL8wMHoySNI8.m3u8?tag=16&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1603405784964120580/vid/1080x1080/SzbwC6EYIlge8zb3.mp4?tag=16', bitrate=8768000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1603405784964120580/vid/540x540/Lh3Dcj4JtZNsyy6H.mp4?tag=16', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/amplify_video/1603405784964120580/vid/320x320/I7gQIscO_5LCHzgy.mp4?tag=16', bitrate=432000)], duration=31.631, type='video')]",[],121,,2033,1304,,https://twitter.com/JoeBiden/status/1603412081084080128,1603412081084080128,1603412081084080128
"Ten years ago, I said marriage is about a simple proposition: 

Who do you love? 
Will you be loyal to the person you love?

The Respect for Marriage Act recognizes that everyone should have the right to answer those questions for themselves, without government interference.",Thu Dec 15 00:27:00 +0000 2022,2022-12-15 00:27:00+00:00,21630,,[],420,,6565,2762,,https://twitter.com/JoeBiden/status/1603184817046257666,1603184817046257666,1603184817046257666
"Starting January 1, seniors with diabetes on Medicare are going to pay no more than $35 a month for their insulin prescription. 

That's genuine savings for seniors. This matters to many families with loved ones who have diabetes and rely on insulin to survive.",Wed Dec 14 16:40:03 +0000 2022,2022-12-14 16:40:03+00:00,16407,,[],232,,2880,2432,,https://twitter.com/JoeBiden/status/1603067302211211266,1603067302211211266,1603067302211211266
