"Time","X","Raw Searches (millions)"
"2007-01-01",0,0
"2007-02-01",0,0
"2007-03-01",0,5.3
"2007-04-01",1,5.3
"2007-05-01",1,5.3
"2007-06-01",1,5.3
"2007-07-01",1,2
"2007-08-01",0,5.3
"2007-09-01",0,1
"2007-10-01",0,1
"2007-11-01",1,5.3
"2007-12-01",1,5.3
"2008-01-01",1,5.3
"2008-02-01",1,5.3
"2008-03-01",1,5.3
"2008-04-01",1,5.3
"2008-05-01",1,5.3
"2008-06-01",1,5.3
"2008-07-01",1,5.3
"2008-08-01",1,5.3
"2008-09-01",1,5.3
"2008-10-01",2,11
"2008-11-01",2,11
"2008-12-01",3,16
"2009-01-01",4,21
"2009-02-01",8,42
"2009-03-01",14,74
"2009-04-01",20,106
"2009-05-01",19,101
"2009-06-01",25,138
"2009-07-01",27,148
"2009-08-01",30,159
"2009-09-01",27,143
"2009-10-01",27,143
"2009-11-01",25,132
"2009-12-01",27,148
"2010-01-01",30,164
"2010-02-01",33,175
"2010-03-01",34,180
"2010-04-01",36,196
"2010-05-01",38,206
"2010-06-01",41,217
"2010-07-01",46,249
"2010-08-01",45,243
"2010-09-01",47,254
"2010-10-01",46,238
"2010-11-01",44,228
"2010-12-01",44,233
"2011-01-01",50,270
"2011-02-01",54,286
"2011-03-01",60,323
"2011-04-01",60,323
"2011-05-01",63,349
"2011-06-01",67,365
"2011-07-01",72,392
"2011-08-01",74,397
"2011-09-01",71,381
"2011-10-01",71,376
"2011-11-01",70,386
"2011-12-01",77,418
"2012-01-01",78,434
"2012-02-01",77,418
"2012-03-01",82,439
"2012-04-01",82,439
"2012-05-01",82,445
"2012-06-01",88,455
"2012-07-01",92,487
"2012-08-01",89,466
"2012-09-01",88,471
"2012-10-01",91,497
"2012-11-01",93,497
"2012-12-01",96,529
"2013-01-01",100,497
"2013-02-01",92,482
"2013-03-01",93,519
"2013-04-01",90,497
"2013-05-01",90,487
"2013-06-01",90,508
"2013-07-01",93,487
"2013-08-01",89,482
"2013-09-01",82,439
"2013-10-01",79,402
"2013-11-01",78,402
"2013-12-01",78,418
"2014-01-01",78,418
"2014-02-01",77,407
"2014-03-01",79,423
"2014-04-01",73,370
"2014-05-01",73,381
"2014-06-01",67,365
"2014-07-01",74,376
"2014-08-01",68,360
"2014-09-01",65,360
"2014-10-01",62,328
"2014-11-01",61,328
"2014-12-01",60,307
"2015-01-01",59,296
"2015-02-01",57,307
"2015-03-01",55,296
"2015-04-01",53,286
"2015-05-01",55,291
"2015-06-01",51,280
"2015-07-01",55,302
"2015-08-01",53,280
"2015-09-01",53,280
"2015-10-01",50,280
"2015-11-01",50,270
"2015-12-01",49,275
"2016-01-01",50,265
"2016-02-01",49,291
"2016-03-01",49,265
"2016-04-01",48,254
"2016-05-01",49,254
"2016-06-01",48,254
"2016-07-01",52,275
"2016-08-01",48,249
"2016-09-01",47,249
"2016-10-01",47,254
"2016-11-01",51,265
"2016-12-01",50,259
"2017-01-01",52,280
"2017-02-01",52,280
"2017-03-01",51,280
"2017-04-01",52,275
"2017-05-01",51,265
"2017-06-01",51,286
"2017-07-01",55,286
"2017-08-01",53,275
"2017-09-01",51,270
"2017-10-01",51,265
"2017-11-01",48,254
"2017-12-01",48,275
"2018-01-01",55,286
"2018-02-01",50,265
"2018-03-01",40,206
"2018-04-01",35,185
"2018-05-01",31,169
"2018-06-01",31,169
"2018-07-01",42,212
"2018-08-01",55,275
"2018-09-01",51,270
"2018-10-01",50,265
"2018-11-01",48,265
"2018-12-01",49,265
"2019-01-01",54,286
"2019-02-01",53,286
"2019-03-01",53,275
"2019-04-01",52,275
"2019-05-01",54,291
"2019-06-01",59,312
"2019-07-01",59,296
"2019-08-01",59,302
"2019-09-01",54,296
"2019-10-01",61,323
"2019-11-01",56,302
"2019-12-01",60,312
"2020-01-01",62,339
"2020-02-01",60,318
"2020-03-01",70,376
"2020-04-01",68,360
"2020-05-01",67,365
"2020-06-01",68,402
"2020-07-01",75,392
"2020-08-01",70,370
"2020-09-01",70,376
"2020-10-01",74,376
"2020-11-01",74,397
"2020-12-01",68,360
"2021-01-01",75,402
"2021-02-01",68,355
"2021-03-01",65,360
"2021-04-01",64,344
"2021-05-01",69,381
"2021-06-01",64,365
"2021-07-01",68,355
"2021-08-01",69,360
"2021-09-01",64,365
"2021-10-01",66,360
"2021-11-01",67,355
"2021-12-01",69,355
"2022-01-01",64,344
"2022-02-01",66,349
"2022-03-01",63,349
"2022-04-01",68,381
"2022-05-01",65,339
"2022-06-01",64,339
"2022-07-01",68,355
"2022-08-01",68,344
"2022-09-01",63,365
"2022-10-01",64,360
"2022-11-01",67,349
"2022-12-01",62,339
"2023-01-01",66,349
